welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,practice_trials.order
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0576,3.0576,0,28,28,65,1,Guess,0.04480154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0576,3.0576,0,29,29,11,1,Guess,0.559775859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0577,3.0577,0,30,30,51,1,Guess,0.26036093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0578,3.0578,0,31,31,12,1,Read,0.576399064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0578,3.0578,0,32,32,46,1,Read,0.983804982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.058,3.058,0,33,33,4,1,Read,0.149319937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.058,3.058,0,34,34,14,1,Read,0.578475018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0581,3.0581,0,35,35,2,1,Read,0.726627601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0581,3.0581,0,36,36,31,1,Guess,0.01888688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0582,3.0582,0,37,37,62,1,Read,0.615798818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
