welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration
0.0005,2.9788,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,,,,,,,,,,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.041,3.0412,0,0,0,15,1,Guess,0.075947494,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0418,3.0419,0,1,1,11,1,Guess,0.805573122,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0434,3.0434,0,2,2,13,1,Guess,0.54823733,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0437,3.0438,0,3,3,19,1,Guess,0.096595818,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.044,3.044,0,4,4,37,1,Guess,0.585062366,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0441,3.0441,0,5,5,26,1,Read,0.055311196,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0443,3.0444,0,6,6,21,1,Guess,0.38751911,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0449,3.0449,0,7,7,16,1,Read,0.812207018,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0451,3.0452,0,8,8,8,1,Read,0.196287165,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0454,3.0454,0,9,9,20,1,Read,0.85362492,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0457,3.0457,0,10,10,17,1,Guess,0.104437097,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.046,3.046,0,11,11,25,1,Guess,0.077972835,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0463,3.0463,0,12,12,12,1,Read,0.24480295,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0465,3.0467,0,13,13,35,1,Guess,0.257554014,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0471,3.0471,0,14,14,38,1,Read,0.815852513,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0474,3.0474,0,15,15,7,1,Guess,0.644792097,,,,,
,,341028,21,weiblich,2024-12-13_18h08.05.692,guess,2024.2.4,Win32,30.3030303,4088,3.0477,3.0477,0,16,16,1,1,Guess,0.952162206,,,,,
