welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.02,3.02,0,21,21,30,1,Read,0.191181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,22,22,37,1,Guess,0.585062366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,23,23,6,1,Read,0.777201569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,24,24,15,1,Guess,0.075947494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,25,25,12,1,Read,0.24480295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,26,26,31,1,Guess,0.092580742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,27,27,11,1,Guess,0.805573122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,28,28,23,1,Guess,0.781440522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,29,29,9,1,Guess,0.481509697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,196342,g,g,2024-12-12_15h12.28.363,guess,2024.2.4,Win32,89.92805755,3.021,3.021,0,30,30,4,1,Read,0.640402041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
