welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration
0,3.002,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.03,3.03,0,0,0,19,1,Guess,0.096595818,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.03,3.03,0,1,1,13,1,Guess,0.54823733,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.03,3.03,0,2,2,1,1,Guess,0.952162206,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.031,3.031,0,3,3,29,1,Guess,0.671992113,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.031,3.031,0,4,4,28,1,Read,0.516277429,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.031,3.031,0,5,5,4,1,Read,0.640402041,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.031,3.031,0,6,6,25,1,Guess,0.077972835,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.032,3.032,0,7,7,3,1,Guess,0.256354522,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.032,3.032,0,8,8,32,1,Read,0.436678806,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.032,3.032,0,9,9,16,1,Read,0.812207018,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.032,3.032,0,10,10,22,1,Read,0.483519141,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.032,3.033,0,11,11,30,1,Read,0.191181817,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.033,3.033,0,12,12,0,1,Read,0.51513309,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.033,3.033,0,13,13,10,1,Read,0.613164444,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.033,3.033,0,14,14,8,1,Read,0.196287165,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.033,3.033,0,15,15,38,1,Read,0.815852513,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.033,3.033,0,16,16,17,1,Guess,0.104437097,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.033,3.033,0,17,17,20,1,Read,0.85362492,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.034,3.034,0,18,18,11,1,Guess,0.805573122,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.034,3.034,0,19,19,37,1,Guess,0.585062366,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.034,3.034,0,20,20,23,1,Guess,0.781440522,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.034,3.034,0,21,21,6,1,Read,0.777201569,,,,,
,,439685,20,,2024-12-12_17h51.34.111,guess,2024.2.4,Win32,60.16847172,2450,3.034,3.034,0,22,22,12,1,Read,0.24480295,,,,,
