welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,guess_reached.rt,guess_reached.duration,start_task.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,iti_learning.stopped,task_break.started,task_break.stopped,task_break_resp.keys,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_trials.ran,task_break_resp.rt,task_break_resp.duration
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.34,227.331,,227.332,229.326,g,,,Guess,229.327,232.317,,,,,,,Kante,Messer,0.538,,,,,,,220.351,224.339,232.317,232.317,,0,17,17,59,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.307,239.299,,239.304,241.293,g,,,Guess,241.295,244.285,,,,,,,Mauer,Straße,0.841,,,,,,,232.317,236.306,244.285,244.285,,0,18,18,64,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.274,248.277,,248.278,248.28,,,,Read,248.281,251.282,,,,,,,Humor,Komödie,,,,,,,,244.289,248.273,251.282,251.282,,0,19,19,33,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.272,255.274,,255.275,255.277,,,,Read,255.278,258.28,,,,,,,Publikum,Applaus,,,,,,,,251.283,255.271,258.28,258.28,,0,20,20,37,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.269,262.272,,262.273,262.274,,,,Read,262.275,265.277,,,,,,,Eingeweide,Organ,,,,,,,,258.28,262.268,265.277,265.277,,0,21,21,28,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.267,269.269,,269.27,269.271,,,,Read,269.272,272.274,,,,,,,Garage,Haus,,,,,,,,265.278,269.266,272.274,272.274,,0,22,22,31,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.269,276.272,,276.273,276.274,,,,Read,276.275,279.272,,,,,,,Schlüssel,Ring,,,,,,,,272.275,276.265,279.272,279.273,,0,23,23,40,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.263,286.253,,286.254,288.248,g,,,Guess,288.25,291.239,,,,,,,Experiment,Versuch,1.029,,,,,,,279.277,283.261,291.239,291.239,,0,24,24,3,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.229,298.221,,298.222,300.215,h,,,Guess,300.216,303.206,,,,,,,Karneval,Festival,1.3,,,,,,,291.24,295.228,303.206,303.207,,0,25,25,35,1,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.201,310.188,,310.189,312.183,h,,,Guess,312.185,315.174,,,,,,,Kind,Junge,0.464,,,,,,,303.208,307.197,315.174,315.174,,0,26,26,60,1,,
