welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,guess_reached.rt,guess_reached.duration,start_task.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,iti_learning.stopped,task_break.started,task_break.stopped,task_break_resp.keys,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_trials.ran,task_break_resp.rt,task_break_resp.duration,end_part1.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti.started,iti.stopped,cued_recall.started,cued_recall.stopped,end_cued_recall.keys,recall_response.started,recall_response.stopped,recall_reached.keys,recall_select.started,recall_select.stopped,recall_selection.keys,recall_feedback.started,recall_feedback.stopped,end_feedback.keys,test_practice_trials.thisRepN,test_practice_trials.thisTrialN,test_practice_trials.thisN,test_practice_trials.thisIndex,test_practice_trials.ran,recall_reached.rt,recall_reached.duration,recall_selection.rt,recall_selection.duration,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,end_part2.started,end_part2.stopped,end_part2_key.keys,end_part2_key.rt,end_part2_key.duration,instructions_semantic_mapping1.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,sm_trial_type,item.started,item.stopped,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,mapping_break.started,mapping_break.stopped,break_resp.keys,semantic_mapping.thisRepN,semantic_mapping.thisTrialN,semantic_mapping.thisN,semantic_mapping.thisIndex,semantic_mapping.ran,list_item,kind,break_resp.rt,break_resp.duration,thanks.started,thanks.stopped
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.3424,566.3313,,566.3331,568.3244,h,,,,568.3268,571.3149,,,,,,,Königreich,Schloss,1.1091,,,,,,,559.3515,563.3409,571.315,571.3152,,0,41,41,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.3197,578.3085,,578.3099,580.3017,h,,,,580.3039,583.2917,,,,,,,Traube,Rosine,1.2707,,,,,,,571.3284,575.3181,583.2919,583.2919,,0,42,42,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.2971,590.286,,590.2874,592.2793,h,,,,592.2824,595.2701,,,,,,,Akrobatin,Seil,1.166,,,,,,,583.3026,587.2955,595.2702,595.2704,,0,43,43,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.2743,602.2635,,602.2653,604.2575,g,,,,604.2613,607.2466,,,,,,,Kamin,Ziegel,1.1401,,,,,,,595.2849,599.2726,607.2467,607.2469,,0,44,44,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.2517,614.2404,,614.242,616.2342,h,,,,616.2371,619.2246,,,,,,,Helm,Kopf,0.7665,,,,,,,607.2599,611.2501,619.2248,619.2249,,0,45,45,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.2292,626.2179,,626.2194,628.2119,h,,,,628.2152,631.2016,,,,,,,Geschwister,Eltern,0.6676,,,,,,,619.2404,623.2277,631.2017,631.2019,,0,46,46,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.2062,638.1954,,638.1972,640.1886,h,,,,640.1923,643.1784,,,,,,,Vers,Poesie,0.9064,,,,,,,631.2151,635.2047,643.1785,643.1785,,0,47,47,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.1836,650.1727,,650.1741,652.1658,h,,,,652.1689,655.1561,,,,,,,Häftling,Verurteilter,0.6274,,,,,,,643.1912,647.182,655.1561,655.1563,,0,48,48,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.1617,662.1499,,662.151,664.1436,g,,,,664.1461,667.1342,,,,,,,Pumpe,Reifen,0.7324,,,,,,,655.1688,659.1599,667.1342,667.1344,,0,49,49,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,569604,19,Weiblich,2024-12-16_13h18.06.630,guess,2024.2.4,Linux armv81,60.60606061,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.1385,674.1274,,674.1291,676.1209,h,,,,676.1235,679.1113,,,,,,,Insel,Meer,0.6774,,,,,,,667.148,671.137,679.1115,679.1117,,0,50,50,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
