welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0375,3.0375,0,29,29,18,1,Read,0.67780954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0377,3.0377,0,30,30,30,1,Read,0.191181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0377,3.0377,0,31,31,26,1,Read,0.055311196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0378,3.0378,0,32,32,28,1,Read,0.516277429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0379,3.0379,0,33,33,11,1,Guess,0.805573122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0381,3.0381,0,34,34,2,1,Read,0.02347598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0382,3.0382,0,35,35,22,1,Read,0.483519141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0383,3.0383,0,36,36,14,1,Read,0.118489356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0384,3.0384,0,37,37,8,1,Read,0.196287165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,3.0385,3.0385,0,38,38,20,1,Read,0.85362492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,,,,,,,,,,3.0388,10.4302,space,7.3549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,,,,,,,,,,,,,,,10.4305,12.959,space,2.5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,,,,,,,,,,,,,,,,,,,,12.9592,14.5496,space,1.5526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,,,,,,,,,,,,,,,,,,,,,,,,,14.5498,15.7673,space,1.1772,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7678,16.4843,space,0.6775,,,,,,,,,,,,,,,,,,,,,,
,,047032,23,,2024-12-12_16h33.23.209,guess,2024.2.4,Win32,59.88023952,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4959,18.4856,18.4872,18.4905,,18.4908,18.4931,,18.4933,18.4941,Read,18.4944,21.4883,,0,0,0,0,1,Wand,Fenster
